ABCFLOAT|FLOAT,FLOAT,FLOAT
ABC|int,UINT,int
AXESLISTA|DWORD,DWORD,AXISINFOA
AXESLISTW|DWORD,DWORD,AXISINFOW
AXISINFOA|LONG,LONG,BYTE
AXISINFOW|LONG,LONG,WCHAR
BITMAPCOREHEADER|DWORD,WORD,WORD,WORD,WORD
BITMAPCOREINFO|BITMAPCOREHEADER,RGBTRIPLE
BITMAPFILEHEADER|WORD,DWORD,WORD,WORD,DWORD
BITMAPINFOHEADER|DWORD,LONG,LONG,WORD,WORD,DWORD,DWORD,LONG,LONG,DWORD,DWORD
BITMAPINFO|BITMAPINFOHEADER,RGBQUAD
BITMAPV4HEADER|DWORD,LONG,LONG,WORD,WORD,DWORD,DWORD,LONG,LONG,DWORD,DWORD,DWORD,DWORD,DWORD,DWORD,DWORD,CIEXYZTRIPLE,DWORD,DWORD,DWORD
BITMAPV5HEADER|DWORD,LONG,LONG,WORD,WORD,DWORD,DWORD,LONG,LONG,DWORD,DWORD,DWORD,DWORD,DWORD,DWORD,DWORD,CIEXYZTRIPLE,DWORD,DWORD,DWORD,DWORD,DWORD,DWORD,DWORD
BITMAP|LONG,LONG,LONG,LONG,WORD,WORD,LPVOID
BLENDFUNCTION|BYTE,BYTE,BYTE,BYTE
CHARSETINFO|UINT,UINT,FONTSIGNATURE
CIEXYZTRIPLE|CIEXYZ,CIEXYZ,CIEXYZ
CIEXYZ|FXPT2DOT30,FXPT2DOT30,FXPT2DOT30
COLORADJUSTMENT|WORD,WORD,WORD,WORD,WORD,WORD,WORD,WORD,SHORT,SHORT,SHORT,SHORT
DESIGNVECTOR|DWORD,DWORD,LONG
DIBSECTION|BITMAP,BITMAPINFOHEADER,DWORD,HANDLE,DWORD
DISPLAYCONFIG_2DREGION|UINT32,UINT32
DISPLAYCONFIG_ADAPTER_NAME|DISPLAYCONFIG_DEVICE_INFO_HEADER,WCHAR
DISPLAYCONFIG_DESKTOP_IMAGE_INFO|POINTL,RECTL,RECTL
DISPLAYCONFIG_DEVICE_INFO_HEADER|DISPLAYCONFIG_DEVICE_INFO_TYPE,UINT32,LUID,UINT32
DISPLAYCONFIG_PATH_INFO|DISPLAYCONFIG_PATH_SOURCE_INFO,DISPLAYCONFIG_PATH_TARGET_INFO,UINT32
DISPLAYCONFIG_RATIONAL|UINT32,UINT32
DISPLAYCONFIG_SDR_WHITE_LEVEL|DISPLAYCONFIG_DEVICE_INFO_HEADER,ULONG
DISPLAYCONFIG_SOURCE_DEVICE_NAME|DISPLAYCONFIG_DEVICE_INFO_HEADER,WCHAR
DISPLAYCONFIG_SOURCE_MODE|UINT32,UINT32,DISPLAYCONFIG_PIXELFORMAT,POINTL
DISPLAYCONFIG_TARGET_BASE_TYPE|DISPLAYCONFIG_DEVICE_INFO_HEADER,DISPLAYCONFIG_VIDEO_OUTPUT_TECHNOLOGY
DISPLAYCONFIG_TARGET_DEVICE_NAME|DISPLAYCONFIG_DEVICE_INFO_HEADER,DISPLAYCONFIG_TARGET_DEVICE_NAME_FLAGS,DISPLAYCONFIG_VIDEO_OUTPUT_TECHNOLOGY,UINT16,UINT16,UINT32,WCHAR,WCHAR
DISPLAYCONFIG_TARGET_MODE|DISPLAYCONFIG_VIDEO_SIGNAL_INFO
DISPLAYCONFIG_TARGET_PREFERRED_MODE|DISPLAYCONFIG_DEVICE_INFO_HEADER,UINT32,UINT32,DISPLAYCONFIG_TARGET_MODE
DISPLAY_DEVICEA|DWORD,CHAR,CHAR,DWORD,CHAR,CHAR
DISPLAY_DEVICEW|DWORD,WCHAR,WCHAR,DWORD,WCHAR,WCHAR
DOCINFOA|int,LPCSTR,LPCSTR,LPCSTR,DWORD
DOCINFOW|int,LPCWSTR,LPCWSTR,LPCWSTR,DWORD
DRAWPATRECT|POINT,POINT,WORD,WORD
EMRABORTPATH|EMR
EMRALPHABLEND|EMR,RECTL,LONG,LONG,LONG,LONG,DWORD,LONG,LONG,XFORM,COLORREF,DWORD,DWORD,DWORD,DWORD,DWORD,LONG,LONG
EMRANGLEARC|EMR,POINTL,DWORD,FLOAT,FLOAT
EMRARC|EMR,RECTL,POINTL,POINTL
EMRBITBLT|EMR,RECTL,LONG,LONG,LONG,LONG,DWORD,LONG,LONG,XFORM,COLORREF,DWORD,DWORD,DWORD,DWORD,DWORD
EMRCOLORCORRECTPALETTE|EMR,DWORD,DWORD,DWORD,DWORD
EMRCOLORMATCHTOTARGET|EMR,DWORD,DWORD,DWORD,DWORD,BYTE
EMRCREATEBRUSHINDIRECT|EMR,DWORD,LOGBRUSH32
EMRCREATECOLORSPACEW|EMR,DWORD,LOGCOLORSPACEW,DWORD,DWORD,BYTE
EMRCREATECOLORSPACE|EMR,DWORD,LOGCOLORSPACEA
EMRCREATEDIBPATTERNBRUSHPT|EMR,DWORD,DWORD,DWORD,DWORD,DWORD,DWORD
EMRCREATEMONOBRUSH|EMR,DWORD,DWORD,DWORD,DWORD,DWORD,DWORD
EMRCREATEPALETTE|EMR,DWORD,LOGPALETTE
EMRCREATEPEN|EMR,DWORD,LOGPEN
EMRELLIPSE|EMR,RECTL
EMREOF|EMR,DWORD,DWORD,DWORD
EMREXCLUDECLIPRECT|EMR,RECTL
EMREXTCREATEFONTINDIRECTW|EMR,DWORD,EXTLOGFONTW
EMREXTCREATEPEN|EMR,DWORD,DWORD,DWORD,DWORD,DWORD,EXTLOGPEN32
EMREXTESCAPE|EMR,INT,INT,BYTE
EMREXTFLOODFILL|EMR,POINTL,COLORREF,DWORD
EMREXTSELECTCLIPRGN|EMR,DWORD,DWORD,BYTE
EMREXTTEXTOUTA|EMR,RECTL,DWORD,FLOAT,FLOAT,EMRTEXT
EMRFILLPATH|EMR,RECTL
EMRFILLRGN|EMR,RECTL,DWORD,DWORD,BYTE
EMRFORMAT|DWORD,DWORD,DWORD,DWORD
EMRFRAMERGN|EMR,RECTL,DWORD,DWORD,SIZEL,BYTE
EMRGDICOMMENT|EMR,DWORD,BYTE
EMRGLSBOUNDEDRECORD|EMR,RECTL,DWORD,BYTE
EMRGLSRECORD|EMR,DWORD,BYTE
